ROLLCALL_WEEK,WTD SALES,MTD SALES,YTD SALES,WTD QUOTA,MTD QUOTA,YTD QUOTA,WTD PERCENTAGE,MTD PERCENTAGE,YTD PERCENTAGE
201636,3789.4,3789.4,294864,9214.4,9214.4,253834.9,41.1%,41.1%,116.2%
201637,-4434.3,-644.9,290429.8,9214.4,18428.7,263049.3,-48.1%,-3.5%,110.4%
201638,8456.8,7811.9,298886.6,9214.4,27643.1,272263.7,91.8%,28.3%,109.8%
201639,22258,30069.9,321144.5,9214.4,36857.5,281478,241.6%,81.6%,114.1%
201640,5257.4,5257.4,326401.9,10073.1,10073.1,291551.2,52.2%,52.2%,112%
201641,-6034.8,-777.3,320367.2,10073.1,20146.2,301624.3,-59.9%,-3.9%,106.2%
201642,2793.9,2016.5,323161,10073.1,30219.4,311697.4,27.7%,6.7%,103.7%
201643,28132,30148.5,351293,10073.1,40292.5,321770.5,279.3%,74.8%,109.2%
201644,2636.2,2636.2,353929.2,9207.9,9207.9,330978.5,28.6%,28.6%,106.9%
201645,24502.9,27139.1,378432.2,9207.9,18415.9,340186.4,266.1%,147.4%,111.2%
201646,6466.8,33606,384899,9207.9,27623.8,349394.4,70.2%,121.7%,110.2%
201647,6488.7,40094.6,391387.6,9207.9,36831.8,358602.3,70.5%,108.9%,109.1%
201648,19263.2,59357.9,410650.9,9207.9,46039.7,367810.3,209.2%,128.9%,111.6%
201649,2613.9,2613.9,413264.7,13813.6,13813.6,381623.9,18.9%,18.9%,108.3%
201650,-6647.1,-4033.3,406617.6,13813.6,27627.2,395437.5,-48.1%,-14.6%,102.8%
201651,9851.7,5818.5,416469.4,13813.6,41440.8,409251.1,71.3%,14%,101.8%
201652,36287,42105.5,452756.3,13813.6,55254.4,423064.7,262.7%,76.2%,107%
201702,-22951.8,-22951.8,-22951.8,4221,8442,8442,-543.8%,-271.9%,-271.9%
201703,5625.9,-17325.8,-17325.8,4221,12663,12663,133.3%,-136.8%,-136.8%
201704,18065.7,739.9,739.9,4221,16884,16884,428%,4.4%,4.4%
201705,3500,3500,4239.9,6585.2,6585.2,23469.2,53.1%,53.1%,18.1%
201706,-1652.4,1847.6,2587.5,6585.2,13170.3,30054.3,-25.1%,14%,8.6%
201707,6982.5,8830.1,9570,6585.2,19755.5,36639.5,106%,44.7%,26.1%
201708,5170.7,14000.8,14740.7,6585.2,26340.6,43224.6,78.5%,53.2%,34.1%
201709,20521.7,34522.6,35262.4,6585.2,32925.8,49809.8,311.6%,104.8%,70.8%
201710,2983.1,2983.1,38245.5,9459.9,9459.9,59269.6,31.5%,31.5%,64.5%
201711,-1993.6,989.5,36252,9459.9,18919.7,68729.5,-21.1%,5.2%,52.7%
201712,18.1,1007.7,36270.1,9459.9,28379.6,78189.4,.2%,3.6%,46.4%
201713,0,1007.7,36270.1,9459.9,37839.5,87649.3,0%,2.7%,41.4%
201714,0,0,47626,9661.4,9661.4,97310.6,0%,0%,48.9%
201715,0,0,47626,9661.4,19322.7,106972,0%,0%,44.5%
201716,0,0,47626,9661.4,28984.1,116633.3,0%,0%,40.8%
201717,0,0,47626,9661.4,38645.4,126294.7,0%,0%,37.7%
201718,0,0,47626,10525.5,10525.5,136820.2,0%,0%,34.8%
201719,0,0,47626,10525.5,21051,147345.7,0%,0%,32.3%
201720,0,0,47626,10525.5,31576.5,157871.2,0%,0%,30.2%
201721,-3360.9,-3360.9,44265.1,10525.5,42102,168396.7,-31.9%,-8%,26.3%
201722,0,-3360.9,44265.1,10525.5,52627.5,178922.2,0%,-6.4%,24.7%
201723,0,0,44265.1,8538.9,8538.9,187461,0%,0%,23.6%
201724,0,0,44265.1,8538.9,17077.7,195999.9,0%,0%,22.6%
201725,0,0,44265.1,8538.9,25616.6,204538.7,0%,0%,21.6%
201726,0,0,44265.1,8538.9,34155.4,213077.6,0%,0%,20.8%
201727,0,0,44265.1,6339.1,6339.1,219416.7,0%,0%,20.2%
201728,0,0,44265.1,6339.1,12678.3,225755.9,0%,0%,19.6%
201729,1292.2,1292.2,45557.3,6339.1,19017.4,232095,20.4%,6.8%,19.6%
201730,0,1292.2,45557.3,6339.1,25356.5,238434.1,0%,5.1%,19.1%
201731,0,0,45557.3,7241.4,7241.4,245675.5,0%,0%,18.5%
201732,0,0,45557.3,7241.4,14482.7,252916.9,0%,0%,18%
201733,0,0,45557.3,7241.4,21724.1,260158.2,0%,0%,17.5%
201734,47.9,47.9,45605.2,7241.4,28965.5,267399.6,.7%,.2%,17.1%
201735,0,47.9,45605.2,7241.4,36206.9,274641,0%,.1%,16.6%
201736,0,0,45605.2,8324.1,8324.1,282965.1,0%,0%,16.1%
201737,0,0,45605.2,8324.1,16648.2,291289.2,0%,0%,15.7%
201738,2247.9,2247.9,47853.1,8324.1,24972.4,299613.3,27%,9%,16%
201739,582.4,582.4,46187.6,8324.1,33296.5,307937.5,7%,1.7%,15%
