Date,Close
1/3/2012,74.160004
1/4/2012,73.839996
1/5/2012,73.120003
1/6/2012,73.480003
1/9/2012,73.449997
1/10/2012,74.190002
1/11/2012,74.610001
1/12/2012,74.739998
1/13/2012,74.160004
1/17/2012,74.199997
1/18/2012,74.93
1/19/2012,75.309998
1/20/2012,75.419998
1/23/2012,75.129997
1/24/2012,75
1/25/2012,75.620003
1/26/2012,75.839996
1/27/2012,76.040001
1/30/2012,76.150002
1/31/2012,75.650002
2/1/2012,76.779999
2/2/2012,76.379997
2/3/2012,76.699997
2/6/2012,76.919998
2/7/2012,77.290001
2/8/2012,76.919998
2/9/2012,76.57
2/10/2012,76.690002
2/13/2012,77.160004
2/14/2012,77.110001
2/15/2012,76.730003
2/16/2012,76.760002
2/17/2012,76.760002
2/21/2012,76.400002
2/22/2012,75.900002
2/23/2012,76.639999
2/24/2012,76.5
2/27/2012,76.769997
2/28/2012,76.860001
2/29/2012,76.989998
3/1/2012,76.889999
3/2/2012,76.540001
3/5/2012,76.32
3/6/2012,75.610001
3/7/2012,76
3/8/2012,76.720001
3/9/2012,77.160004
3/12/2012,77.690002
3/13/2012,78.370003
3/14/2012,78.239998
3/15/2012,78.940002
3/16/2012,78.410004
3/19/2012,81.110001
3/20/2012,80.389999
3/21/2012,80.510002
3/22/2012,80.279999
3/23/2012,79.709999
3/26/2012,80.57
3/27/2012,80.389999
3/28/2012,80.040001
3/29/2012,79.849998
3/30/2012,80.720001
4/2/2012,80.669998
4/3/2012,80.519997
4/4/2012,79.860001
4/5/2012,80.18
4/9/2012,79.190002
4/10/2012,78.330002
4/11/2012,78.790001
4/12/2012,79.419998
4/13/2012,79.559998
4/16/2012,79.559998
4/17/2012,80.300003
4/18/2012,80.489998
4/19/2012,79.860001
4/20/2012,80.269997
4/23/2012,79.029999
4/24/2012,79.459999
4/25/2012,79.650002
4/26/2012,78.25
4/27/2012,78.440002
4/30/2012,78.139999
5/1/2012,78.470001
5/2/2012,78.419998
5/3/2012,78.07
5/4/2012,77.730003
5/7/2012,77.800003
5/8/2012,77.660004
5/9/2012,77.150002
5/10/2012,76.610001
5/11/2012,76.43
5/14/2012,76.209999
5/15/2012,76.080002
5/16/2012,75.919998
5/17/2012,74.809998
5/18/2012,74.029999
5/21/2012,74.639999
5/22/2012,74.760002
5/23/2012,75
5/24/2012,75.18
5/25/2012,74.940002
5/29/2012,75.510002
5/30/2012,74.610001
5/31/2012,74.940002
6/1/2012,73.25
6/4/2012,72.989998
6/5/2012,72.800003
6/6/2012,74.980003
6/7/2012,75.470001
6/8/2012,76.629997
6/11/2012,75.830002
6/12/2012,76.190002
6/13/2012,76.269997
6/14/2012,77.370003
6/15/2012,77.529999
6/18/2012,77.790001
6/19/2012,78.160004
6/20/2012,78.169998
6/21/2012,77.099998
6/22/2012,77.709999
6/25/2012,76.440002
6/26/2012,76.360001
6/27/2012,76.790001
6/28/2012,77.110001
6/29/2012,78.760002
7/2/2012,78.690002
7/3/2012,79.470001
7/5/2012,79.910004
7/6/2012,79.370003
7/9/2012,79.199997
7/10/2012,78.580002
7/11/2012,78.879997
7/12/2012,78.589996
7/13/2012,79.440002
7/16/2012,79.169998
7/17/2012,79.330002
7/18/2012,80.209999
7/19/2012,79.970001
7/20/2012,78.449997
7/23/2012,77.949997
7/24/2012,74.339996
7/25/2012,74.269997
7/26/2012,74.870003
7/27/2012,76
7/30/2012,76.230003
7/31/2012,75.610001
8/1/2012,75.150002
8/2/2012,75
8/3/2012,75.760002
8/6/2012,75.620003
8/7/2012,76.089996
8/8/2012,75.779999
8/9/2012,76.029999
8/10/2012,76.300003
8/13/2012,76.150002
8/14/2012,76.18
8/15/2012,76.580002
8/16/2012,76.370003
8/17/2012,76.489998
8/20/2012,76.440002
8/21/2012,75.900002
8/22/2012,76.139999
8/23/2012,75.68
8/24/2012,75.720001
8/27/2012,75.260002
8/28/2012,74.589996
8/29/2012,74.300003
8/30/2012,73.82
8/31/2012,73.809998
9/4/2012,73.699997
9/5/2012,71.940002
