,Return_AAPL,Return_AET,Return_APCxlsx,Return_AXP,Return_BAC,Return_BMY,Return_COF,Return_IBM,Return_F,Return_UPS,Return_KO,Return_GOOG,Return_T,Return_OKE,Return_HON
1/4/2012,0.005374150705507289,0.018867900053400933,0.0142402412144885,-0.0030997520789366405,0.001724137931034446,-0.019137333284051962,0.017142857142857144,-0.004079495371774215,0.015274034141958662,-0.004315102248376381,-0.006273224978614226,0.004313109065335944,0.001645852588737799,-0.0008007420667989432,-0.0008996222458405863
1/5/2012,0.01110193463543648,0.009953703473293895,0.012912198053611563,0.01160856087858362,0.08605851979345956,-0.005241700640652498,0.015280898876404488,-0.004742853472027276,0.025663716814159215,-0.009750718296355302,-0.004734490946025295,-0.013871411722174086,-0.0009858692080184403,0.001030346823454855,0.0010804789243968659
1/6/2012,0.010453800041531435,0.01008478088276918,-0.006559479954474756,-0.010860635468455575,-0.02060221870047542,0.0017564695550353296,-0.000442673749446727,-0.011480618185192032,0.010353753235547972,0.004923413364739598,-0.006342828129080819,-0.013641640364472662,-0.023684210526315752,-0.0026303257558689427,-0.0073753911991043765
1/9/2012,-0.0015861695113306743,0.0015883594281823395,0.006228977434744391,0.00248599544230356,0.014563106796116483,-0.009059058765077383,0.024136403897254285,-0.005204322539883062,0.007685738684884701,-0.0004083559985701171,0.0,-0.04239867735196258,-0.0006738544474393387,-0.005159925416606999,0.008336335380409664
1/10/2012,0.003580468537736201,0.004077956594425938,0.001361891842090813,0.005786298941647089,0.05741626794258379,0.020937746977292934,0.030918918918918913,-0.001541924148728864,0.0,0.010074949356362951,0.005948005222689575,0.0010924269614851548,0.0033715441672286387,0.01613640468739061,0.016894302564194146
1/11/2012,-0.0016302736344443742,-0.0029332355595667876,-0.014342186486480788,0.005753092490367488,0.036199095022624465,-0.015020248845183404,0.0006291736577180486,0.005570619442618915,0.022881355932203352,0.005661126683889158,-0.01845973570578236,0.004525436751977263,0.007728494623655808,0.002268619635216289,-0.002120855275285819
1/12/2012,-0.0027452491154330533,-0.0058836615950138525,-0.012293063067071418,0.014300326572005593,-0.011644832605531306,0.0005865396238439838,0.014462440043228766,-0.009708226919934245,0.005799502899751474,0.0017423535485544765,-0.007199500652350886,0.00587901845885573,0.004334811603868075,-0.008035291653064583,0.012929507385787976
1/13/2012,-0.0037494578359585865,-0.005235579330753457,-0.00927096797741854,0.0022154279067298993,-0.026509572901325437,-0.009378663815318409,0.010123904540334428,-0.007698692754937195,-0.008237232289950693,-0.007760155412367006,-0.008583720586058803,-0.007385243015228551,-0.0016600597058413688,0.013234403308217704,-0.00856794888467616
1/17/2012,0.011648119220865017,0.019908443480355982,0.015254390071673068,0.009244433651303754,-0.019667170953101346,-0.0023668048037515104,-0.0018408672906701493,0.0046885241194791726,-0.001661129568106277,0.0005392799061876467,0.005373936568859121,0.0057441445640984065,0.005986032590621873,-0.008895321643323503,0.008112874779541498
1/18/2012,0.010383816738517895,0.007628449629795744,0.013131326254974526,0.0067702109364752155,0.049382716049382616,0.0002965302403162274,0.006557377183552817,0.005944483333333355,0.02662229617304495,0.009838315761657114,0.003563444797726645,0.006888514211391958,0.0026446280991734975,0.008179874924823232,0.018019576533795698
